species,seed_dry_mass_mg,SLA_mm2_mg.1,height_m
Salvia_japonica,-0.6952459512717704,-0.8758216299906071,-0.0033576914677945313
Salvia_chanroenica,-0.6952459512717704,-0.8758216299906071,-0.0033576914677945313
Salvia_plebeia,-0.6952459512717704,-0.8758216299906071,-0.0033576914677945313
Isodon_inflexus,-0.3306551373164287,-0.9591138216821355,1.8435951564959772
Isodon_excisus,-0.6304661616266977,-1.097806681533302,1.8435951564959772
Isodon_japonicus,-0.7863839815124551,-0.9802046379415643,1.2852138294386826
Elsholtzia_ciliata,-1.232581842967589,-0.748697026184276,-0.2425938012147211
Elsholtzia_splendens,-1.0039076516435212,-0.7746288025103776,0.27566346842817147
Mosla_dianthera,-1.0159097731215907,-0.7746288025103776,0.27566346842817147
Mosla_punctulata,-1.049165086147737,-0.7746288025103776,0.27566346842817147
Ajuga_spectabilis,-1.2024859909439325,-0.9517513093099232,1.2610887355065803
Ajuga_decumbens,-1.2024859909439325,-0.9517513093099232,1.2610887355065803
Lamium_amplexicaule,-0.5624065975585426,-0.6356855152932618,-1.215681832917217
Leonurus_macranthus,-0.6719224797735968,-0.7873246617137595,0.051088911597620454
Leonurus_japonicus,-0.22409948982640449,-0.8857285638818803,1.233424001656321
Phlomis_umbrosa,-0.7863839815124551,-0.9802046379415643,1.2852138294386826
Stachys_japonica,-1.2024859909439325,-0.9627486957302034,1.254845993587126
Scutellaria_insignis,-1.2024859909439325,-0.9627486957302034,1.254845993587126
Scutellaria_strigillosa,-1.2024859909439325,-0.9627486957302034,1.254845993587126
Scutellaria_indica,-1.5270493755821115,-0.9138172860333958,1.25523787968454
Pedicularis_resupinata,-1.1296710445733367,-0.661699336140166,-0.29102548569427006
Phtheirospermum_japonicum,-1.1296710445733367,-0.661699336140166,-0.29102548569427006
Melampyrum_setaceum,-1.1296710445733367,-0.661699336140166,-0.29102548569427006
Melampyrum_roseum,-1.1284084445031133,-0.6426287139318689,-1.1885663744198056
Mazus_pumilus,-1.131588763566388,-0.661699336140166,-0.28647286050539544
Strobilanthes_oliganthus,-0.9408151789691497,-0.610253958954511,-0.24870349781057288
Justicia_procumbens,-0.9408151789691497,-0.610253958954511,-0.24870349781057288
Tripora_divaricata,-0.9408151789691497,-0.5661528770430475,-0.3022284066616098
Scrophularia_takesimensis,-0.8318016456001524,0.045122868190839334,-0.6438867910412956
Scrophularia_koraiensis,-0.8318016456001524,0.045122868190839334,-0.6438867910412956
Scrophularia_kakudensis,-0.8318016456001524,0.045122868190839334,-0.6438867910412956
Plantago_asiatica,-0.5224270366215602,-0.01095433610055661,-3.1730943102422615
Trigonotis_icumae,-0.5668939666866741,-0.01384932526995946,0.267452011089792
Trigonotis_peduncularis,-0.5668939666866741,-0.01384932526995946,0.267452011089792
Brachybotrys_paridiformis,-0.5668939666866741,-0.007041815264351469,0.24961798371280977
Lithospermum_zollingeri,-0.5871425322419214,-0.02483211461613406,0.3041141116203492
Lithospermum_erythrorhizon,-0.5871425322419214,-0.02483211461613406,0.3041141116203492
Galium_maximowiczii,-0.629434616104573,0.11871385742486812,0.7302808233788013
Galium_koreanum,-1.1662896755050602,0.16426244119423852,0.5500218024332668
Galium_spurium,0.33765750153053453,0.2133144770552696,0.43657008081232934
