species,seed_dry_mass_mg,SLA_mm2_mg.1,height_m
Codonopsis ussuriensis,0.6710387598256718,25.791645530445276,0.19397410528913736
Codonopsis lanceolata,0.6710387598256718,25.791645530445276,0.19397410528913736
Platycodon grandiflorus,0.918451666666667,19.82067103,0.05415384615384619
Lobelia sessilifolia,0.6407815332531345,25.4115372735614,0.19748852103541337
Sillaphyton podagraria,0.56305997168439,39.58869659890027,0.3860933020852171
Cymopterus melanotilingia,3.32696320004532,33.131437368439144,0.4829938133513746
Angelica amurensis,3.146534964057295,31.993749901143435,0.4815141052634872
Angelica reflexa,3.146534964057295,31.993749901143435,0.4815141052634872
Angelica decursiva,3.146534964057295,31.993749901143435,0.4815141052634872
Glehnia littoralis,3.3833645102704066,31.887513653716685,0.4492094704091303
Angelica gigas,3.2351999999999994,31.905964874390417,0.4486543340550731
Angelica cartilaginomarginata,3.3141165989552315,31.883969424528836,0.47765088487370166
Angelica polymorpha,3.32696320004532,31.883969424528836,0.47765088487370166
Angelica dahurica,3.146534964057295,31.993749901143435,0.4815141052634872
Peucedanum terebinthaceum,2.899938289046926,36.50793861,0.46577375083427164
Ostericum sieboldii,3.146534964057295,32.14052691609299,0.4815141052634872
Ostericum grosseserratum,3.146534964057295,32.14052691609299,0.4815141052634872
Peucedanum insolens,3.464882139656351,33.326239136535705,0.49370781278106124
Dystaenia takesimana,3.464882139656351,33.326239136535705,0.49370781278106124
Heracleum moellendorffii,3.380359356771929,31.637253335265967,0.5014544647821224
Pimpinella koreana,3.4088684955778485,30.05474296770331,0.5652058003349484
Pimpinella komarovii,3.4088684955778485,30.05474296770331,0.5652058003349484
Pimpinella hallaisanensis,3.4088684955778485,30.05474296770331,0.5652058003349484
Pimpinella brachycarpa,3.912,30.046134188933593,0.5641596315504535
Torilis japonica,1.83193333333333,26.3566666666667,0.592433333333333
Osmorhiza aristata,2.975188351825897,29.52478120915022,0.5704219804894233
Anthriscus sylvestris,3.7394864864864905,30.34996747635161,0.597451680672269
Cryptotaenia japonica,2.1167232282599335,27.46102790133971,0.5542070269978653
Sium suave,2.1167232282599335,27.46102790133971,0.5542070269978653
Oenanthe javanica,2.1167232282599335,27.46102790133971,0.5542070269978653
Bupleurum longeradiatum,2.288447693541096,31.117153979755063,0.4974031902075358
Bupleurum falcatum,2.8983458333125,22.3212141821296,0.527957746478873
Sanicula tuberculata,1.4699614265252896,41.25189412842452,0.44755590870435186
Sanicula rubriflora,1.4699614265252896,41.25189412842452,0.44755590870435186
Sanicula chinensis,1.4893990625335958,54.34485647000001,0.5
Aralia cordata,0.527135555587536,37.967328554505805,0.38223915852141566
Hydrocotyle maritima,0.5118701707147267,38.23015046885049,0.38223248192115405
Hydrocotyle sibthorpioides,0.286,38.90420506616995,0.37611202250817577
Hydrocotyle ramiflora,0.5176640458778073,38.295903292259005,0.38223248192115405
Valeriana dageletiana,0.8642436418490724,35.219965295471916,0.2712489677150636
Valeriana fauriei,0.8642436418490724,35.219965295471916,0.2712489677150636
Patrinia scabiosifolia,0.8066,35.2104828856051,0.26535537357526817
Patrinia villosa,0.8642436418490724,35.2104828856051,0.2712489677150636
Patrinia saniculifolia,0.8642436418490724,35.2104828856051,0.2712489677150636
Scabiosa tschiliensis,0.8742936012997569,34.59595994218143,0.2736471332325494
Pseudolysimachion longifolium,0.3854900757827628,27.3741629615945,0.2872240694945424
Pseudolysimachion pyrethrinum,0.3854900757827628,27.3741629615945,0.2872240694945424
Pseudolysimachion dauricum,0.3854900757827628,27.3741629615945,0.2872240694945424
Clinopodium multicaule,0.5294218255415752,23.368023556551925,0.26139718548569635
Clinopodium gracile,0.5294218255415752,23.368023556551925,0.26139718548569635
Mentha canadensis,0.5294218255415752,23.368023556551925,0.26139718548569635
Prunella asiatica,0.788349387856702,26.6890422902645,0.13208962149450504
Nepeta cataria,0.533345,14.618102370000004,0.675916666666667
Agastache rugosa,0.4274,23.664142581582706,0.2550008982394288
Meehania urticifolia,0.5316089966064151,23.389854177397183,0.26139718548569635
Glechoma grandis,0.5316089966064151,23.389854177397183,0.26139718548569635
Lycopus lucidus,0.4776382691106906,21.181709147112382,0.45030990340947036
Salvia chanryoenica,0.47034049104977155,21.206240542186386,0.43961569319173
Salvia japonica,0.47034049104977155,21.206240542186386,0.43961569319173
Salvia chanroenica,0.47034049104977155,21.206240542186386,0.43961569319173
